name,image_url
Craig Dawson,https://resources.premierleague.com/premierleague/photos/players/40x40/p60232.png
Lucas De Bolle,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Kevin De Bruyne,https://resources.premierleague.com/premierleague/photos/players/40x40/p61366.png
Bobby De Cordova-Reid,https://resources.premierleague.com/premierleague/photos/players/40x40/p96994.png
Luc De Fougerolles,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Matthijs de Ligt,https://resources.premierleague.com/premierleague/photos/players/40x40/p209365.png
Deivid Washington,https://resources.premierleague.com/premierleague/photos/players/40x40/p617054.png
Liam Delap,https://resources.premierleague.com/premierleague/photos/players/40x40/p463034.png
Leander Dendoncker,https://resources.premierleague.com/premierleague/photos/players/40x40/p151589.png
Will Dennis,https://resources.premierleague.com/premierleague/photos/players/40x40/p444172.png
Justin Devenny,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Alfie Devine,https://resources.premierleague.com/premierleague/photos/players/40x40/p496179.png
Kiernan Dewsbury-Hall,https://resources.premierleague.com/premierleague/photos/players/40x40/p215413.png
Moussa Diaby,https://resources.premierleague.com/premierleague/photos/players/40x40/p243557.png
Amad Diallo,https://resources.premierleague.com/premierleague/photos/players/40x40/p493250.png
Luis Díaz,https://resources.premierleague.com/premierleague/photos/players/40x40/p244731.png
Matt Dibley-Dias,https://resources.premierleague.com/premierleague/photos/players/40x40/p515023.png
Tyler Dibling,https://resources.premierleague.com/premierleague/photos/players/40x40/p496661.png
Diego Carlos,https://resources.premierleague.com/premierleague/photos/players/40x40/p165659.png
Diego Moreira,https://resources.premierleague.com/premierleague/photos/players/40x40/p491011.png
Eric Dier,https://resources.premierleague.com/premierleague/photos/players/40x40/p93264.png
Lucas Digne,https://resources.premierleague.com/premierleague/photos/players/40x40/p101188.png
Diogo Dalot,https://resources.premierleague.com/premierleague/photos/players/40x40/p216051.png
Diogo Jota,https://resources.premierleague.com/premierleague/photos/players/40x40/p194634.png
Issa Diop,https://resources.premierleague.com/premierleague/photos/players/40x40/p219924.png
Axel Disasi,https://resources.premierleague.com/premierleague/photos/players/40x40/p220362.png
Roman Dixon,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Ben Doak,https://resources.premierleague.com/premierleague/photos/players/40x40/p496208.png
Lewis Dobbin,https://resources.premierleague.com/premierleague/photos/players/40x40/p461421.png
Matt Doherty,https://resources.premierleague.com/premierleague/photos/players/40x40/p87835.png
Jérémy Doku,https://resources.premierleague.com/premierleague/photos/players/40x40/p248875.png
Nicolás Domínguez,https://resources.premierleague.com/premierleague/photos/players/40x40/p250199.png
Janoi Donacien,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Jamie Donley,https://resources.premierleague.com/premierleague/photos/players/40x40/p513588.png
Alfie Dorrington,https://resources.premierleague.com/premierleague/photos/players/40x40/p519321.png
Cheick Doucouré,https://resources.premierleague.com/premierleague/photos/players/40x40/p438464.png
Douglas Luiz,https://resources.premierleague.com/premierleague/photos/players/40x40/p230046.png
Flynn Downes,https://resources.premierleague.com/premierleague/photos/players/40x40/p220585.png
Callum Doyle,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Mohamed Dräger,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Radu Dragusin,https://resources.premierleague.com/premierleague/photos/players/40x40/p493125.png
Martin Dúbravka,https://resources.premierleague.com/premierleague/photos/players/40x40/p67089.png
Joshua Duffus,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Paul Dummett,https://resources.premierleague.com/premierleague/photos/players/40x40/p106618.png
Lewis Dunk,https://resources.premierleague.com/premierleague/photos/players/40x40/p83299.png
Jhon Durán,https://resources.premierleague.com/premierleague/photos/players/40x40/p476344.png
Kiano Dyer,https://resources.premierleague.com/premierleague/photos/players/40x40/p559963.png
George Earthy,https://resources.premierleague.com/premierleague/photos/players/40x40/p490885.png
Malcolm Ebiowei,https://resources.premierleague.com/premierleague/photos/players/40x40/p450535.png
Ederson,https://resources.premierleague.com/premierleague/photos/players/40x40/p121160.png
George Edmundson,https://resources.premierleague.com/premierleague/photos/players/40x40/p214964.png
Odsonne Édouard,https://resources.premierleague.com/premierleague/photos/players/40x40/p199670.png
Samuel Edozie,https://resources.premierleague.com/premierleague/photos/players/40x40/p490503.png
Ronnie Edwards,https://resources.premierleague.com/premierleague/photos/players/40x40/p500926.png
Bilal El Khannouss,https://resources.premierleague.com/premierleague/photos/players/40x40/p513527.png
Idris El Mizouni,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Anthony Elanga,https://resources.premierleague.com/premierleague/photos/players/40x40/p449434.png
Harvey Elliott,https://resources.premierleague.com/premierleague/photos/players/40x40/p444884.png
Noam Emeran,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Johnny Emerson,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Emerson Royal,https://resources.premierleague.com/premierleague/photos/players/40x40/p241157.png
Lander Emery,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Julio Enciso,https://resources.premierleague.com/premierleague/photos/players/40x40/p474120.png
Wataru Endo,https://resources.premierleague.com/premierleague/photos/players/40x40/p158983.png
Ethan Ennis,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Christian Eriksen,https://resources.premierleague.com/premierleague/photos/players/40x40/p80607.png
Pervis Estupiñán,https://resources.premierleague.com/premierleague/photos/players/40x40/p204214.png
Evanilson,https://resources.premierleague.com/premierleague/photos/players/40x40/p444102.png
Jonny Evans,https://resources.premierleague.com/premierleague/photos/players/40x40/p37642.png
Julian Eyestone,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Eberechi Eze,https://resources.premierleague.com/premierleague/photos/players/40x40/p232413.png
Lukasz Fabianski,https://resources.premierleague.com/premierleague/photos/players/40x40/p37096.png
Fábio Carvalho,https://resources.premierleague.com/premierleague/photos/players/40x40/p244858.png
Fábio Silva,https://resources.premierleague.com/premierleague/photos/players/40x40/p449988.png
Fábio Vieira,https://resources.premierleague.com/premierleague/photos/players/40x40/p438098.png
Wout Faes,https://resources.premierleague.com/premierleague/photos/players/40x40/p218218.png
Romain Faivre,https://resources.premierleague.com/premierleague/photos/players/40x40/p441240.png
Amar Fatah,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Abdul Fatawu,https://resources.premierleague.com/premierleague/photos/players/40x40/p531442.png
Ansu Fati,https://resources.premierleague.com/premierleague/photos/players/40x40/p465607.png
Felipe,https://resources.premierleague.com/premierleague/photos/players/40x40/p116404.png
Evan Ferguson,https://resources.premierleague.com/premierleague/photos/players/40x40/p487117.png
Enzo Fernández,https://resources.premierleague.com/premierleague/photos/players/40x40/p448047.png
Will Fish,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Jayce Fitzgerald,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Mark Flekken,https://resources.premierleague.com/premierleague/photos/players/40x40/p118342.png
Jack Fletcher,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Phil Foden,https://resources.premierleague.com/premierleague/photos/players/40x40/p209244.png
Wes Foderingham,https://resources.premierleague.com/premierleague/photos/players/40x40/p82143.png
Wesley Fofana,https://resources.premierleague.com/premierleague/photos/players/40x40/p444463.png
Pablo Fornals,https://resources.premierleague.com/premierleague/photos/players/40x40/p217593.png
Omari Forson,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Fraser Forster,https://resources.premierleague.com/premierleague/photos/players/40x40/p40383.png
Tyrese Francois,https://resources.premierleague.com/premierleague/photos/players/40x40/p432931.png
Ryan Fraser,https://resources.premierleague.com/premierleague/photos/players/40x40/p90105.png
Fred,https://resources.premierleague.com/premierleague/photos/players/40x40/p101582.png
Ryan Fredericks,https://resources.premierleague.com/premierleague/photos/players/40x40/p81012.png
Benjamin Fredrick,https://resources.premierleague.com/premierleague/photos/players/40x40/p612534.png
Remo Freuler,https://resources.premierleague.com/premierleague/photos/players/40x40/p89076.png
Niclas Füllkrug,https://resources.premierleague.com/premierleague/photos/players/40x40/p91889.png
